id,Calorie_correction,Moisture,Crude_protein,Crude_fat,Saturated_fat,Total_carbohydrates,Dietary_fiber,Total_carbohydrate,glucose,fructose,Galactose,maltose,sucrose,lactose,sodium,Potassium,calcium,magnesium,iron,Zinc,phosphorus,copper,manganese,VitaminB1,VitaminB2,VitaminB6,VitaminB12,VitaminC,Folic_acid,VitaminA,VitaminD,VitaminE,Cluster_category
1465,152.0,76.3,12.4,11.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,105.0,5.0,11.0,1.0,1.6,100.0,0.0,0.0,0.06,0.22,0.04,0.94,2.5,31.4,17.0,0.0,0.23,0
1466,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1469,704.0,299.8,4.5,66.0,9.9,26.3,4.6,8.6,2.2,1.9,0.0,0.0,4.5,0.0,1137.0,736.0,135.0,34.0,2.7,1.4,103.0,0.04,0.0,0.07,0.15,0.22,0.16,19.3,28.0,21623.0,0.0,31.38,2
1470,362.0,104.1,1.2,0.6,0.2,93.2,3.2,0.7,0.4,0.3,0.0,0.0,0.0,0.0,4.0,304.0,21.0,33.0,2.0,0.5,17.0,0.02,0.0,0.02,0.08,0.12,0.0,5.5,48.3,51.0,0.0,2.12,0
1471,410.0,196.9,19.1,3.7,0.8,77.9,5.2,4.3,0.3,0.4,0.0,3.2,0.4,0.0,259.0,591.0,85.0,73.0,2.7,1.7,232.0,0.0,0.0,0.27,0.16,0.22,0.0,2.4,67.1,1933.0,0.0,2.08,3
1473,47.0,85.8,1.1,0.5,0.2,11.7,3.2,0.7,0.4,0.3,0.0,0.0,0.0,0.0,4.0,304.0,21.0,33.0,2.0,0.5,17.0,0.02,0.0,0.02,0.03,0.1,0.0,2.9,45.0,51.0,0.0,2.08,0
1474,48.0,86.0,0.6,0.2,0.1,13.0,1.2,9.8,0.6,3.4,0.0,0.0,5.8,0.0,5.0,119.0,8.0,9.0,0.3,0.2,12.0,0.01,0.0,0.05,0.05,0.11,0.0,22.7,27.1,1865.0,0.0,1.2,1
1475,285.0,229.0,22.1,12.6,4.2,24.2,3.4,1.1,0.5,0.6,0.0,0.0,0.0,0.0,5137.0,776.0,63.0,85.0,4.4,2.4,342.0,0.07,0.03,0.15,0.69,1.31,0.8,10.5,121.1,982.0,84.4,3.6,3
1476,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1477,327.0,199.6,11.1,4.1,1.6,78.1,21.0,4.0,1.2,2.1,0.0,0.0,0.8,0.0,2863.0,2055.0,222.0,306.0,27.5,2.6,208.0,0.0,0.0,0.11,0.52,1.04,0.0,34.0,48.5,91.0,0.0,18.94,3
1478,359.0,11.3,35.6,15.7,2.4,32.9,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1667.0,194.0,215.0,6.5,2.7,445.0,0.0,0.0,0.39,0.21,0.72,0.0,0.0,0.0,19.0,0.0,15.91,0
1479,9.0,96.9,0.4,0.1,0.0,2.4,1.1,1.4,0.7,0.7,0.0,0.0,0.0,0.0,2.0,165.0,11.0,5.0,0.3,0.1,16.0,0.0,0.0,0.01,0.01,0.02,0.0,16.1,0.0,0.0,0.0,0.08,0
1480,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
1481,1170.0,298.5,28.3,81.0,15.9,86.9,8.2,13.2,3.3,3.6,0.0,1.6,4.5,0.0,1565.0,964.0,113.0,91.0,4.6,4.7,417.0,0.07,0.03,0.44,0.67,0.52,1.17,35.5,180.1,21410.0,84.4,35.48,2
1482,599.0,465.0,47.0,24.6,8.7,55.1,8.1,26.7,2.2,7.2,0.0,0.0,17.1,0.2,1863.0,1286.0,140.0,76.0,5.2,4.8,599.0,0.13,0.06,1.2,1.26,0.92,1.79,62.8,215.1,860.0,84.4,9.85,3
1483,157.0,67.3,21.7,7.2,1.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,352.0,10.0,4.0,0.9,2.6,31.0,0.0,0.0,0.02,0.05,0.0,0.77,0.8,5.1,20.0,0.0,0.16,0
1485,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
1488,242.0,34.3,4.6,1.4,0.3,57.9,10.4,26.1,0.7,0.5,0.0,0.0,24.8,0.0,1.0,758.0,39.0,60.0,1.2,1.0,114.0,0.0,0.0,0.23,0.13,0.61,0.0,14.7,59.9,25.0,0.0,14.34,0
1489,256.0,166.7,1.3,25.2,23.4,7.4,0.3,6.8,0.4,0.1,0.0,0.1,6.3,0.0,42.0,218.0,5.0,34.0,0.9,0.4,64.0,0.02,0.04,0.04,0.0,0.02,0.0,1.9,1.7,2.0,0.0,0.07,0
1490,242.0,34.3,4.6,1.4,0.3,57.9,10.4,26.1,0.7,0.5,0.0,0.0,24.8,0.0,1.0,758.0,39.0,60.0,1.2,1.0,114.0,0.0,0.0,0.23,0.13,0.61,0.0,14.7,59.9,25.0,0.0,14.34,0
1491,1124.0,232.2,29.5,104.3,17.9,22.0,3.3,2.2,1.2,1.0,0.0,0.0,0.0,0.0,5048.0,980.0,20.0,93.0,3.5,3.8,340.0,0.0,0.0,0.78,0.33,1.79,0.39,179.1,47.7,828.0,0.0,18.79,3
1495,733.0,127.5,22.8,15.1,6.0,132.3,4.2,6.9,2.3,2.9,0.0,1.6,0.0,0.0,493.0,272.0,72.0,57.0,3.2,2.7,316.0,0.07,0.03,0.31,0.6,0.24,1.01,3.2,148.6,563.0,84.4,4.3,1
1496,310.0,243.0,28.8,20.1,7.7,6.0,3.1,1.3,0.7,0.6,0.0,0.0,0.0,0.0,215.0,579.0,103.0,44.0,3.7,3.4,357.0,0.07,0.03,0.23,0.83,0.28,1.74,78.4,165.8,1174.0,84.4,3.09,1
1497,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1498,283.0,33.3,10.0,6.1,2.9,49.2,4.2,6.7,2.1,2.9,0.0,1.6,0.0,0.0,355.0,137.0,18.0,46.0,1.3,1.4,130.0,0.0,0.0,0.22,0.07,0.11,0.21,0.0,66.7,5.0,0.0,2.04,0
1499,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1500,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1501,508.0,176.2,30.5,15.0,6.0,65.5,4.2,6.9,2.3,2.9,0.0,1.6,0.0,0.0,5490.0,662.0,75.0,112.0,5.4,3.1,439.0,0.07,0.03,0.32,0.66,1.19,1.01,0.6,187.8,563.0,84.4,4.26,3
1502,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1503,1081.0,204.2,8.3,71.9,10.1,109.8,10.5,0.8,0.5,0.2,0.0,0.0,0.0,0.0,2136.0,442.0,70.0,81.0,2.8,2.1,188.0,0.0,0.0,0.1,0.25,0.1,0.16,34.6,25.4,1981.0,0.0,32.29,3
1505,66.0,282.0,0.7,0.5,0.2,16.2,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,22.0,156.0,28.0,12.0,0.5,0.1,34.0,0.0,0.0,0.07,0.02,0.04,0.0,34.0,5.0,0.0,0.0,0.55,0
1506,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
1507,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
1508,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
1509,1315.0,183.3,54.6,99.6,38.1,53.2,4.2,8.3,2.7,2.9,0.0,1.8,0.4,0.4,2642.0,702.0,80.0,91.0,4.6,5.9,845.0,0.07,0.03,1.2,0.84,0.66,2.55,49.7,162.5,625.0,84.4,4.7,3
1511,997.0,361.1,13.5,101.2,15.8,18.3,4.3,2.1,1.1,1.0,0.0,0.0,0.0,0.0,1226.0,697.0,186.0,176.0,14.3,2.5,213.0,0.02,0.0,0.1,0.97,0.25,62.09,22.2,74.8,106.0,0.0,44.49,1
1512,850.0,175.2,2.2,0.9,0.1,218.7,2.0,196.8,2.3,2.0,0.0,0.0,192.5,0.0,62.0,919.0,486.0,114.0,0.4,0.8,50.0,0.0,0.0,0.04,0.37,0.39,0.0,136.2,16.9,0.0,0.0,4.73,0
1513,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
1514,1392.0,117.8,27.7,8.4,3.3,339.0,36.0,200.6,2.2,1.7,0.0,0.0,196.7,0.0,64.0,2135.0,1063.0,335.0,8.7,2.5,347.0,1.86,109.4,0.12,0.52,1.12,0.0,215.1,196.8,18166.0,0.0,39.87,2
1515,555.0,64.5,12.0,6.9,3.4,114.6,6.3,58.4,12.3,9.2,0.0,4.4,32.4,0.0,423.0,322.0,33.0,89.0,3.7,2.5,182.0,0.0,0.0,0.26,0.13,0.44,0.21,0.0,82.1,5.0,0.0,2.27,0
1516,407.0,399.6,30.8,7.4,1.9,50.3,2.2,14.0,4.3,4.5,0.0,0.0,5.2,0.0,5096.0,1151.0,53.0,85.0,4.0,3.8,192.0,0.0,0.0,0.13,0.22,1.23,0.77,26.7,75.0,49.0,0.0,0.2,3
1517,74.0,80.5,2.6,0.2,0.0,15.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,386.0,4.0,20.0,0.6,1.1,38.0,0.0,0.0,0.08,0.03,0.15,0.0,29.5,11.4,0.0,0.0,0.02,0
1518,90.0,76.5,2.8,0.1,0.0,19.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,570.0,2.0,12.0,0.7,1.1,42.0,0.0,0.0,0.13,0.02,0.19,0.0,9.1,9.1,0.0,0.0,0.19,0
1523,1443.0,250.6,24.5,111.7,17.7,93.4,8.5,69.1,41.1,27.5,0.0,0.0,0.6,0.0,6855.0,550.0,320.0,122.0,5.9,2.7,401.0,0.0,0.0,0.15,0.18,7.53,0.0,7.3,84.6,0.0,0.0,51.42,3
